Sample	162	82	287	42	107	292	262	187	1	272	152	282	247	77	192	87	127	222	137	132	92	52	252	142	197	267	7	112	47	257	97	27	37	242	22	157	4	182	72	212	300	277	17	57	172	297	227	167	207	122	12	102	67	117	9	202	62	8	217	237	147	177	3	5	32	6	2	232
230929-COI-COL-071-B1_S107_L001_R1_001	35.89311937534781	35.966297590537785	32.945343353718485	36.44390710473222	36.00323700026637	33.414850129205895	34.344309112418145	35.69932593969983	33.702573941887124	33.20048447226156	35.33444764954995	32.62271250270784	34.174870768788026	36.630228519387046	35.56770487448532	36.3211233595305	36.36857455703763	35.031112309697995	36.01401221049837	36.02295772778551	36.127447044968235	36.3076960302789	34.852586691263724	36.12281504278439	35.52814106020789	33.551577053168266	37.41436724606104	36.000299183087726	36.497512520379054	34.014932435809854	35.895445546094685	36.97454025137803	36.44251717068612	34.86333483116148	37.275192273296376	35.73290391128229	33.666395668363116	35.80647496347457	36.69731668292593	35.2991076864757	30.339864511201323	32.69923155720902	37.32274597161022	36.39777777391156	35.75190628149651	30.79040372105076	34.99450618927193	35.58289034614427	35.798796362774304	36.293244049869784	37.175948358563275	35.9731698820563	36.28093368254132	35.99821529629617	36.72119152534105	35.644674788925265	36.466330375926624	36.82351506479569	35.62365437096808	34.948775903913216	36.044647952009406	35.87197266199338	33.5017479390579	33.692444025300404	36.234883985626254	37.34072616705419	33.734947399229284	35.08081960209486
230929-COI-COL-071-B1_S107_L001_R2_001	34.32226859384741	34.718194462252896	18.435721288864517	34.12476291175275	34.83940696132445	19.931934592607245	25.398484571542514	32.35935142662931	32.124892278174336	19.271139738595814	33.712092759556796	17.50634627847849	27.886839350692775	34.37169530434719	32.939924067841574	35.06802743088303	34.1876793584518	28.62998177769513	33.78416012194718	34.40287967657487	35.26016068914106	34.882504928617756	27.224708774275378	34.14678372681128	31.976555624208526	22.661846762267157	36.53943838311572	35.09768988269596	34.30770096023381	27.588531264020208	34.79130883306207	34.17258906359246	35.09861400196503	30.003784609255696	35.008341327783285	34.142335173488505	32.67268824897156	32.92380589220286	34.88302596495461	31.91232023033652	15.808188192988283	20.946238469337196	34.679936911594936	35.04337173803413	33.493244489689026	19.926969238690127	29.37259873879854	33.96607095490715	32.48828944805962	34.44047639485948	35.16176322336222	34.912585941253454	34.35014768804922	34.92280059502144	35.357425082518986	31.765303178524654	34.33379531681743	35.61759971382579	31.88168571078424	29.87217052886166	34.48391304771327	33.18128017577048	31.513910342921253	32.39145704947887	34.81815905432432	36.62164842848084	32.455521048438236	30.14468748691268
230929-COI-COL-071-B2_S108_L001_R1_001	36.06968256556256	36.0902376654633	33.43246374420979	36.555122966045026	36.12493481095176	33.8193596367838	34.66212307340696	35.78644825318815	33.7691043245047	33.21928732552384	35.56094280116224	32.715497602295756	34.346679744707046	36.741763279198324	35.680015051740355	36.41301716653561	36.4673108414607	35.127647277401834	36.020159217702	36.07568983890177	36.222220829363685	36.43129891728777	35.025546804523735	36.311774449978785	35.63838499139124	33.80433573296708	37.43583690721904	36.0618769431351	36.58433808089756	34.27341082100223	35.931937174548	37.03410166726403	36.482305633067185	34.90019271028922	37.3065466994599	35.868211743107636	33.70505864468367	35.93805006649186	36.8014826311354	35.56639015332256	30.513892432306662	32.84454078457188	37.371504492590624	36.49049849116979	35.894331954365995	30.786563679162544	35.1291618897068	35.78341826935336	35.91323352772458	36.394569114660385	37.228903362954355	36.06235583191254	36.40467407889541	36.079394891844174	36.83468255243415	35.780401068696975	36.53685232821404	36.89167109540112	35.67160209238779	35.19804880501879	36.21830702325151	35.98290703165628	33.51231600153255	33.71134950748353	36.25908961698657	37.413417211504	33.7395038993462	35.33301389331117
230929-COI-COL-071-B2_S108_L001_R2_001	34.67786998270113	35.085507560013454	18.781860718947236	34.48834155569569	35.2383425060475	20.618142099257703	26.656437594550198	32.87023957275565	32.27529013360359	19.67793212590118	34.180634246729035	17.85764598012987	28.421790445492586	34.83216358142285	33.57625563068011	35.32451100067279	34.449341944208065	29.44849332105265	34.29626845099366	34.798168057539534	35.45577467612198	35.196704598377735	28.310562582378616	34.50445895883068	32.5622580546236	23.49470220301942	36.57809197760502	35.37750156621977	34.608283327717594	28.910672507540358	35.143313998559535	34.463079185772024	35.40051198842561	30.804880937729376	35.353452558984564	34.5903068224202	32.7733682688386	33.41818231809028	35.10276971565376	32.25959172600099	15.786331884424225	21.6774320710266	35.0147717862837	35.31895932952433	34.02044139762672	20.185965469739912	30.36420174863789	34.49209169751432	33.181364587173086	34.676173397745174	35.462920987257604	35.24542231020787	34.73794893233455	35.10913702884718	35.60881709532696	32.40377947919124	34.64268592278515	35.82090197871736	32.501376488373566	30.078879672735944	34.95273150905879	33.73527226586521	31.7740356688213	32.5151957088653	35.070220365586884	36.72200318868881	32.578994203507555	30.560225758569338
230929-COI-COL-071-B3_S109_L001_R1_001	35.84913558629545	35.874778152797006	33.065178424001786	36.44874771480804	35.888946969255	33.47761705780533	34.38602468440565	35.559994863653344	33.72030437163457	32.895832985250635	35.33404313554771	32.404718995658804	34.059820372603895	36.603012178575696	35.43305472543892	36.18314187543424	36.2325764294049	34.85421495277833	35.79877307726895	35.85068320336756	36.0057444502755	36.3254597522265	34.733542892901895	36.08492245936264	35.37791030192229	33.48101205784573	37.4370379665967	35.8478269356406	36.45631743443123	33.99168426486462	35.70731788346794	36.96232089075477	36.37092483993854	34.618288387697284	37.30539381217487	35.64388956983599	33.69497809619421	35.696035674262234	36.701283261324164	35.283222856722574	30.252906491815146	32.54758341781177	37.37003057406225	36.37768897031431	35.6501993621351	30.44857551124677	34.84732049890904	35.5332609583844	35.66690822956973	36.18300963180215	37.22538787989413	35.83544561618703	36.311011921029674	35.8510069776668	36.78759012503423	35.519375464907476	36.44786986962819	36.89057223692617	35.40340015464208	34.90609477640777	36.010074300771905	35.75361178558087	33.466345715067995	33.72832435885735	36.170409327370635	37.37841106142192	33.73731404581546	35.0702676118615
230929-COI-COL-071-B3_S109_L001_R2_001	34.3005055917987	34.73623141860196	18.484036208026662	34.199408797279105	34.8957089791213	20.176476909120137	26.15361892075066	32.57371125013106	32.115907638952265	19.273194748956037	33.78557109243418	17.50192696465089	27.958729381022373	34.48098519352253	33.14715688672981	34.936947478309754	34.12371525392149	29.000751759262748	33.914447088584836	34.420259309444084	35.10044203483546	34.890428852972164	27.78812616825443	34.159233725398856	32.12090989395582	23.115217348065986	36.332869398557996	35.06296617886755	34.36588261120593	28.438341629858144	34.786540618133316	34.201060965592774	35.041559409857705	30.43937057794954	35.0613420644337	34.15152376514446	32.57087934653646	33.02042894255525	34.785080367963914	31.80267770465597	15.675458118289622	21.194320682630416	34.76995299808342	35.02302676475648	33.64556111151844	19.96241013151695	29.821791107425526	34.104867194780994	32.72113184209887	34.27160128954761	35.15058410148763	34.88629578141665	34.4060589335175	34.787793744323075	35.33791183718171	31.974652176657248	34.308425614452965	35.54849639499863	32.000804829862645	29.697700733758733	34.604133088687206	33.30984284532671	31.585048370904445	32.37137218216665	34.74171762343707	36.46965410240029	32.395945514283106	30.058294141013924
230929-COI-COL-071-S1_S104_L001_R1_001	35.92191589525057	36.10748730051373	33.18232952563924	36.54985681787769	36.0794024093611	32.68674274042055	34.369222862123095	35.761721511779896	33.75604055082878	32.83829553661708	35.49206936859732	32.46674178078234	33.994009071592124	36.67549260944201	35.51417218543046	36.1926027838761	36.47683414916298	34.78880675130113	35.99444116588701	36.13068297948903	36.14457429048414	36.39874473538298	34.98226230010978	36.004680820439006	35.393319896343215	33.31425104723386	37.48158784009403	35.91542386291042	36.59516355649258	34.04270052433158	35.93009061553297	36.969303717159306	36.512268013044036	34.6014990901476	37.35082343827218	35.71076719310116	33.70961279034046	35.82733332373562	36.769486817152156	35.29037133104989	29.022723518365467	32.79589640534039	37.42021397374081	36.380008124894545	35.79349563064166	30.370439246255046	34.87592579146637	35.664516779199836	35.6321657380613	36.353373826933044	37.2604575992734	36.02828235691682	36.15372368908173	36.06890417950774	36.83473800905582	35.586516100761415	36.292984611647896	36.909308258424716	35.585298432861535	34.65347332543832	36.07289294477505	35.74354817811434	33.542614433210005	33.72779120864443	36.51753062014986	37.42574363221093	33.74886802281318	34.74180162959044
230929-COI-COL-071-S1_S104_L001_R2_001	34.75834075435925	35.09320814849907	19.054702858114393	34.8233304817409	35.19102527283171	20.676210014917974	26.92870495101364	33.36368231803602	32.42454153254351	19.157869597744146	34.35566279561898	17.777496115555046	28.351680073632444	35.02188651962952	33.32276181037331	35.478696170507895	34.701986327578936	28.72489664538545	34.27391685215768	34.87856968478495	35.610797616483595	35.45940300042838	28.09429320230267	34.53991814461119	32.351167032935464	24.307498417448354	36.685811216925565	35.34289479883323	35.15805223185663	29.12189212907681	35.27809229411726	34.75547957098398	35.62112186785763	30.833737539377722	35.6003259025765	34.35647640113757	32.82413281865659	33.99320617046336	35.44928533242619	32.57346496502639	15.69735146549019	22.000420095528575	35.2456450600382	35.440364827041115	33.88168395047543	20.251542480430352	29.344507524982724	34.330277785757374	32.99400459638035	35.04528627022991	35.606082624317146	35.197504340076556	35.174617066703014	35.16314123983342	35.81529070776957	32.5570241828597	35.06571110853328	35.9803924187581	32.646648369379086	30.731261957162793	34.743152062397506	33.98842032690816	31.917148619588882	32.639891009630155	35.349276736700105	36.773457639343384	32.690178845717185	30.417644294305052
230929-COI-COL-071-S2_S105_L001_R1_001	35.976636522655944	36.14648697454641	33.74171622944587	36.45685460219141	36.22632588163266	33.07100111066825	34.6330898017645	35.79212256454555	33.778045923149016	33.2620591704581	35.56906484314079	32.83293854264461	34.351010392609695	36.716077261880955	35.652944140512524	36.25076292783435	36.55712079684745	35.24885797843994	36.10335440077714	36.26348536272381	36.247004365136476	36.36752782967021	35.24507829182809	36.251837904608855	35.70809578654381	33.64764392234271	37.480224929709465	36.02570931644563	36.582749610250794	34.43621679525294	36.088756175948575	37.073898781630746	36.52024807556553	34.86694091608929	37.35751171508904	35.84598884290084	33.705049203373946	35.95818216719455	36.755102849234625	35.661027365997214	29.06517175064088	33.22868491369972	37.423619962511715	36.50095163578709	35.93674357829957	30.74877358756577	35.30871245055226	35.85506220531954	35.74212551732346	36.40182049314017	37.25737816307404	36.10585876794509	36.261735838371806	36.24588170392401	36.865440487347705	35.88117892531114	36.332660544582	36.91835754451734	35.91178463359003	35.12624070822007	36.063807313260526	35.9012117285728	33.50995782567948	33.731419868791	36.59297094657919	37.40977038425492	33.75602155576382	35.118794979196416
