	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-B2_S114_L001_R1_001	37.0	6.0	377.0	412.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	1.0	0.0	0.0	1.0	50.0	57.0	1.0	3.0	5.0	0.0	2.0	1.0	41590.0	26836.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-B2_S114_L001_R2_001	18.0	7.0	349.0	404.0	14.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	1.0	0.0	0.0	1.0	26.0	21.0	0.0	2.0	5.0	0.0	1.0	0.0	3988.0	64547.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-S1_S110_L001_R1_001	233.0	207.0	3199.0	4143.0	151.0	5.0	7.0	0.0	3.0	0.0	0.0	1.0	3.0	1.0	4.0	2.0	9.0	7.0	137.0	102.0	7.0	2.0	7.0	4.0	6.0	4.0	7448.0	71239.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-S1_S110_L001_R2_001	59.0	196.0	2945.0	4037.0	151.0	43.0	6.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	5.0	2.0	8.0	7.0	39.0	32.0	7.0	2.0	5.0	4.0	4.0	3.0	4904.0	74467.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-S2_S111_L001_R1_001	369.0	2576.0	13659.0	10360.0	75.0	24.0	10.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	75.0	56.0	1.0	0.0	1.0	0.0	0.0	3.0	862.0	70173.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-S2_S111_L001_R2_001	136.0	2244.0	12865.0	9877.0	186.0	58.0	9.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	22.0	16.0	1.0	0.0	0.0	0.0	1.0	0.0	6582.0	66250.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-S3_S112_L001_R1_001	192.0	446.0	1418.0	1984.0	66.0	5.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0	7.0	7.0	86.0	72.0	10.0	2.0	23.0	1.0	3.0	8.0	6083.0	67041.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-S3_S112_L001_R2_001	59.0	395.0	1395.0	1922.0	119.0	16.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0	7.0	6.0	40.0	28.0	10.0	2.0	21.0	1.0	3.0	4.0	5457.0	67970.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-B1_S118_L001_R1_001	105.0	77.0	110.0	432.0	14.0	4.0	2.0	3.0	0.0	0.0	0.0	20.0	11.0	2.0	3.0	2.0	2.0	5.0	90.0	81.0	10.0	5.0	457.0	11.0	4.0	2.0	3352.0	84739.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-B1_S118_L001_R2_001	33.0	73.0	101.0	422.0	15.0	18.0	2.0	2.0	0.0	0.0	1.0	18.0	10.0	2.0	3.0	2.0	2.0	5.0	37.0	28.0	9.0	6.0	423.0	7.0	4.0	2.0	5763.0	82555.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-B2_S119_L001_R1_001	130.0	80.0	216.0	467.0	19.0	6.0	3.0	4.0	4.0	3.0	5.0	28.0	9.0	3.0	11.0	8.0	4.0	3.0	47.0	47.0	15.0	3.0	37.0	11.0	6.0	2.0	18568.0	61339.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-B2_S119_L001_R2_001	23.0	62.0	207.0	467.0	22.0	30.0	4.0	4.0	6.0	2.0	4.0	27.0	8.0	3.0	10.0	6.0	4.0	3.0	27.0	16.0	14.0	2.0	35.0	11.0	4.0	2.0	5651.0	74424.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-B3_S120_L001_R1_001	211.0	109.0	351.0	620.0	35.0	32.0	9.0	3.0	21.0	2.0	1.0	52.0	9.0	11.0	7.0	3.0	3.0	7.0	70.0	49.0	8.0	6.0	81.0	3.0	9.0	7.0	4281.0	64368.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-B3_S120_L001_R2_001	61.0	102.0	352.0	583.0	43.0	50.0	7.0	3.0	15.0	3.0	1.0	46.0	8.0	9.0	7.0	3.0	2.0	7.0	37.0	23.0	8.0	5.0	77.0	3.0	6.0	2.0	4034.0	64871.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-S1_S115_L001_R1_001	90.0	26.0	206.0	360.0	34.0	6.0	1.0	2.0	1.0	1.0	1.0	6.0	1.0	0.0	0.0	1.0	2.0	4.0	40.0	39.0	14.0	2.0	520.0	0.0	3.0	4.0	7882.0	37700.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-S1_S115_L001_R2_001	28.0	26.0	195.0	344.0	36.0	11.0	1.0	2.0	1.0	2.0	1.0	4.0	1.0	0.0	0.0	1.0	2.0	4.0	16.0	11.0	14.0	2.0	476.0	0.0	2.0	3.0	3213.0	42550.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-S2_S116_L001_R1_001	59.0	21.0	89.0	211.0	9.0	1.0	4.0	1.0	27.0	1.0	6.0	4.0	4.0	0.0	5.0	1.0	2.0	5.0	57.0	59.0	3.0	0.0	117.0	0.0	1.0	4.0	34224.0	45552.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-S2_S116_L001_R2_001	14.0	19.0	86.0	204.0	15.0	9.0	4.0	0.0	26.0	1.0	6.0	3.0	3.0	0.0	4.0	1.0	1.0	5.0	26.0	18.0	3.0	0.0	100.0	0.0	0.0	3.0	6676.0	73240.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-S3_S117_L001_R1_001	82.0	15.0	101.0	156.0	10.0	4.0	6.0	1.0	1.0	0.0	0.0	3.0	3.0	1.0	3.0	0.0	1.0	1.0	82.0	85.0	8.0	1.0	58.0	2.0	0.0	4.0	32017.0	28804.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-S3_S117_L001_R2_001	44.0	14.0	107.0	160.0	17.0	12.0	6.0	1.0	1.0	0.0	0.0	3.0	2.0	1.0	4.0	0.0	1.0	1.0	31.0	20.0	9.0	1.0	49.0	2.0	0.0	3.0	5653.0	55307.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-B1_S124_L001_R1_001	79.0	97.0	79.0	475.0	13.0	3.0	0.0	1.0	2.0	1.0	2.0	22.0	4.0	0.0	1.0	0.0	8.0	3.0	67.0	39.0	16.0	1.0	89.0	2.0	4.0	4.0	13112.0	70217.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-B1_S124_L001_R2_001	23.0	89.0	80.0	453.0	12.0	8.0	0.0	1.0	2.0	1.0	2.0	21.0	4.0	0.0	1.0	0.0	6.0	5.0	41.0	13.0	14.0	1.0	83.0	2.0	4.0	3.0	5610.0	77862.0
